algorithm,avg_reward,best_reward,avg_cpu_pct,total_cpu_time_s,total_wall_time_s,avg_ram_mb
A2C,350.455,1738.944,111.771,261.785,234.306,342.956
PPO,987.987,1595.99,117.209,289.893,226.85,395.534
