episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.11839985847473145,0.11812400000007983,400.34375,99.8
2,0.2337808609008789,0.23335799999995288,400.34375,99.9
3,0.7215311527252197,0.9305040000001554,400.359375,142.9
4,0.8407149314880371,1.0483300000000781,400.359375,98.9
5,1.3148689270019531,1.7376070000000254,400.359375,145.4
6,1.4435429573059082,1.863367000000153,400.359375,97.8
7,1.906290054321289,2.542085000000043,400.359375,146.7
8,2.021991014480591,2.6575900000000274,400.359375,99.8
9,2.48789381980896,3.339437999999973,400.359375,146.3
10,2.6041619777679443,3.4554829999999583,400.359375,99.8
11,3.078671932220459,4.14383399999997,400.359375,145.1
12,3.203352928161621,4.266251000000011,400.359375,98.2
13,3.6642589569091797,4.938781000000063,400.359375,145.9
14,3.780233860015869,5.054540999999972,400.359375,99.9
15,4.241083145141602,5.732087999999976,400.359375,147.0
16,4.35521388053894,5.845997000000125,400.359375,99.8
17,4.816711187362671,6.5237140000001546,400.359375,146.9
18,4.9329798221588135,6.6397810000000845,400.359375,99.8
19,5.40380597114563,7.324783000000025,400.359375,145.5
20,5.5182929039001465,7.439092999999957,400.359375,99.8
21,5.991168975830078,8.119564000000082,400.359375,143.9
22,6.125168085098267,8.24949800000013,400.359375,97.0
23,6.610215902328491,8.937877999999955,400.390625,141.9
24,6.72959303855896,9.056348000000071,400.390625,99.3
25,7.191867113113403,9.735380000000077,400.390625,146.9
26,7.308570146560669,9.851826999999957,400.390625,99.8
27,7.771932125091553,10.531353000000081,400.390625,146.7
28,7.888467788696289,10.64761599999997,400.390625,99.7
29,8.347667932510376,11.324108000000024,400.390625,147.3
30,8.46294903755188,11.439192000000048,400.390625,99.8
31,8.924309015274048,12.116568000000143,400.390625,146.8
32,9.039806842803955,12.231866000000082,400.390625,99.8
33,9.502663850784302,12.913451000000123,400.390625,147.3
34,9.617434024810791,13.028058999999985,400.390625,99.9
35,10.078275918960571,13.70286299999998,400.390625,146.4
36,10.196540117263794,13.820832999999993,400.390625,99.7
37,10.665523767471313,14.51492200000007,400.390625,148.0
38,10.800657987594604,14.646233000000166,400.390625,97.2
39,11.260229110717773,15.322403000000122,400.390625,147.1
40,11.377031087875366,15.438990999999987,400.390625,99.8
41,11.840121030807495,16.116320000000087,400.390625,146.3
42,11.956631898880005,16.23259299999995,400.390625,99.8
43,12.071290969848633,16.34709500000008,400.390625,99.9
44,12.533663988113403,17.02491699999996,400.390625,146.6
45,12.650861978530884,17.141881000000012,400.390625,99.8
46,13.10966181755066,17.815209000000095,400.390625,146.7
47,13.226369857788086,17.931717000000162,400.390625,99.8
48,13.694515943527222,18.613507000000027,400.390625,145.6
49,13.811314105987549,18.730049000000008,400.390625,99.8
50,14.291232824325562,19.414062000000058,400.390625,142.5
51,14.40747594833374,19.530081999999993,400.390625,99.8
