env_name,total_timesteps,episodes_completed,mean_last_100,std_last_100
HalfCheetah-v4,1000000,1001,1401.9585702699997,44.902062290840405
BipedalWalkerHardcore-v3,1000000,769,-90.21342455000001,19.904538860747383
Walker2d-v4,1000000,3378,1749.7950742799999,952.0786679424709
Ant-v4,1000000,9069,1113.3186710599998,496.731139105798
Humanoid-v4,1000000,13197,438.10552995,95.20602383862864
