env_name,total_timesteps,episodes_completed,mean_last_100,std_last_100
HalfCheetah-v4,1000000,1000,3782.157340609999,126.70237078781877
BipedalWalkerHardcore-v3,1000000,2273,-131.22365098000003,47.22388120916221
Walker2d-v4,1000000,2843,2333.2318063,1699.5591976009093
Ant-v4,1000000,2932,-74.81886369,729.8089963906059
Humanoid-v4,1000000,66755,70.77189371,0.6717181985213782
