episode,wall_time_s,cpu_time_s,ram_mb,cpu_pct
1,0.124603271484375,0.12445899999999988,387.4375,99.9
2,0.24852418899536133,0.24821799999999983,387.5,99.9
3,0.5420181751251221,0.685049,422.0,148.8
4,0.6850390434265137,0.822233,422.046875,95.9
5,0.9994151592254639,1.283568,429.109375,146.7
6,1.1415061950683594,1.421194,429.109375,96.9
7,1.4313700199127197,1.8696789999999999,432.75,154.7
8,1.5530219078063965,1.991185,432.75,99.9
9,1.8468232154846191,2.434583,435.421875,150.9
10,1.9692471027374268,2.556858,435.421875,99.9
11,2.255614995956421,3.0021649999999998,435.484375,155.5
12,2.3756799697875977,3.1220689999999998,435.484375,99.9
13,2.663923978805542,3.567824,438.59375,154.6
14,2.783611297607422,3.6873549999999993,438.59375,99.9
15,3.0721840858459473,4.1344959999999995,439.1875,154.9
16,3.1941890716552734,4.256315,439.1875,99.8
17,3.500277042388916,4.713448,439.40625,149.3
18,3.625864267349243,4.8383389999999995,439.40625,99.4
19,3.9525492191314697,5.313809999999999,439.453125,145.5
20,4.07970929145813,5.439309,439.453125,98.7
21,4.380307197570801,5.8910789999999995,439.46875,150.3
22,4.50969123840332,6.018611,439.46875,98.6
23,4.81032395362854,6.473069,439.59375,151.2
24,4.930764198303223,6.593326,439.59375,99.8
25,5.218889951705933,7.039616,439.640625,154.9
26,5.339731931686401,7.160227999999999,439.65625,99.8
27,5.638430118560791,7.617299,440.234375,153.0
28,5.784321069717407,7.757454,440.234375,96.1
29,6.073568105697632,8.206756,440.234375,155.3
30,6.224759101867676,8.350282,440.234375,94.9
31,6.517951011657715,8.791697000000001,440.296875,150.6
32,6.639303207397461,8.912857,440.296875,99.8
33,6.929556131362915,9.351962,441.359375,151.3
34,7.050461292266846,9.472721,441.359375,99.9
35,7.342360019683838,9.924817000000001,442.421875,154.9
36,7.463431119918823,10.045737,442.421875,99.9
37,7.753350257873535,10.494692,442.453125,154.9
38,7.874690055847168,10.615904,442.453125,99.9
39,8.161591053009033,11.062883000000001,442.453125,155.8
40,8.282685995101929,11.183853000000001,442.453125,99.9
41,8.573080062866211,11.635137,442.453125,155.4
42,8.695202112197876,11.75711,442.453125,99.9
43,8.815407276153564,11.877202,442.453125,99.9
44,9.10510516166687,12.325154000000001,444.53125,154.6
45,9.253098964691162,12.465994,444.53125,95.2
46,9.553145170211792,12.923912000000001,444.5625,152.6
47,9.685301065444946,13.053039,444.5625,97.7
48,10.00205111503601,13.517556,444.578125,146.6
49,10.122385263442993,13.637762,444.578125,99.9
50,10.409273147583008,14.079173,444.59375,153.9
51,10.530259370803833,14.199997,444.59375,99.9
52,10.81895399093628,14.647194,444.59375,154.9
53,10.939691066741943,14.767755,444.59375,99.9
54,11.230147123336792,15.215969,444.59375,154.3
55,11.351004123687744,15.336698,444.59375,99.9
56,11.652805089950562,15.789458000000002,444.625,150.0
57,11.772971153259277,15.909491000000001,444.625,99.9
58,12.0628080368042,16.357628,444.640625,154.6
59,12.185288190841675,16.479861999999997,444.640625,99.8
60,12.492785215377808,16.940818999999998,445.171875,149.9
61,12.613610029220581,17.061463999999997,445.171875,99.8
62,12.911418199539185,17.509059999999998,445.171875,150.3
63,13.03233003616333,17.629859999999997,445.171875,99.9
64,13.319315910339355,18.074545999999998,445.203125,155.0
65,13.442259311676025,18.197315,445.203125,99.9
66,13.729067087173462,18.642823999999997,445.203125,155.3
67,13.850710153579712,18.764338,445.203125,99.9
68,14.164283275604248,19.231894,445.203125,149.1
69,14.28532099723816,19.352781999999998,445.203125,99.9
70,14.582117080688477,19.803138,445.203125,151.7
71,14.703481197357178,19.924366,445.203125,99.9
72,14.990698099136353,20.365309,446.203125,153.5
73,15.112114906311035,20.486553999999998,446.203125,99.9
74,15.40237808227539,20.935785,446.203125,154.8
75,15.523167133331299,21.05642,446.203125,99.9
76,15.811540126800537,21.504143,446.703125,155.3
77,15.932988166809082,21.625435,446.703125,99.9
78,16.226712226867676,22.075564999999997,446.71875,153.2
79,16.347204208374023,22.195939,446.734375,99.9
80,16.657201290130615,22.659983,446.75,149.7
81,16.775399208068848,22.778091,446.75,99.9
82,17.062141180038452,23.222717,446.765625,155.1
83,17.184813022613525,23.345184,446.765625,99.8
84,17.47332501411438,23.794762,446.78125,155.8
85,17.59313416481018,23.91445,446.78125,99.9
86,17.714104175567627,24.035292,446.78125,99.9
87,18.0036780834198,24.482602,446.78125,154.5
88,18.12629508972168,24.605044,446.78125,99.9
89,18.415653228759766,25.052007,447.78125,154.5
90,18.53771710395813,25.173947,447.78125,99.9
91,18.82763433456421,25.623009999999997,448.28125,154.9
92,18.949350118637085,25.744563,448.28125,99.9
93,19.2369122505188,26.189709,448.78125,154.8
94,19.384907007217407,26.330443,448.78125,95.1
95,19.671358108520508,26.775679,448.828125,155.4
96,19.81244206428528,26.911928,448.828125,96.6
97,20.114877223968506,27.363093,448.921875,149.2
98,20.239777088165283,27.48763,448.921875,99.7
99,20.55268931388855,27.939332999999998,449.0625,144.4
100,20.67562699317932,28.062033,449.0625,99.8
101,21.00797414779663,28.518836,449.578125,137.4
102,21.134791135787964,28.643677999999998,449.578125,98.4
103,21.41727900505066,29.069568999999998,449.578125,150.8
104,21.539992094039917,29.190322,449.578125,98.4
105,21.832634210586548,29.620307999999998,449.578125,146.9
106,21.95325016975403,29.738557,449.578125,98.0
107,22.24333620071411,30.17416,449.625,150.2
108,22.36330509185791,30.293792999999997,449.625,99.7
109,22.653247117996216,30.742324999999997,450.625,154.7
110,22.774233102798462,30.863190999999997,450.625,99.9
111,23.06544828414917,31.312617,450.625,154.3
112,23.188146114349365,31.435141999999995,450.625,99.9
113,23.477424144744873,31.882360000000002,450.625,154.6
114,23.598477125167847,32.003276,450.625,99.9
115,23.88831615447998,32.451144,450.625,154.5
